Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
"1,2-Dibromoethane",106-93-4,No,Yes,Yes,,(EC) 2009/1223
"1,2-Dichloropropane",78-87-5,No,Yes,Yes,,(EU) 2019/1966
"1,2-Diethoxyethane",629-14-1,No,No,Yes,,(EU) 2019/831
"1,2-Dihydroxyanthraquinone (Pigment Red 83",72-48-0,No,No,Yes,,(EC) 2013/344
"1,2-Diphenylhydrazine",122-66-7,No,Yes,No,,
"1,2-Epoxy-3-Phenoxypropane",122-60-1,No,Yes,No,,
"1,2-Epoxy-3-Phenoxypropane (Phenylglycidyl Ether)",122-60-1,No,No,Yes,,(EC) 2009/1223
"1,2-Epoxy-4-Epoxyethylcyclohexane",106-87-6,No,No,Yes,,(EU) 2019/831
"1,2-Epoxybutane",106-88-7,No,Yes,Yes,,(EC) 2009/1223
"1,3 -Benzenediamine, 4-Methyl-6-- And Its Salts",4438-16-8,No,Yes,No,,
"1,3,5-Triazine-2,4,6-Triamine",108-78-1,No,No,Yes,,(EU) 2023/1490
"1,3,5-Trihydroxybenzene  And Its Salts",108-73-6,No,Yes,No,,
"1,3,5-Trihydroxybenzene (Phloroglucinol) And Its Salts, When Used As A Substance In Hair Dye Products",108-73-6,No,No,Yes,,(EC) 2009/1223
"1,3,5-Tris(3-Aminomethylphenyl)-1,3,5-(1H,3H,5H)-Triazine-2,4,6-Trione, And A Mixture Of Oligomers Of",,No,No,Yes,,(EC) 2009/1223
"1,3,5-Tris(Oxiranylmethyl)-1,3,5-Triazine-2,4,6(1H,3H,5H)-Trione (Tgic)",2451-62-9,No,No,Yes,,(EC) 2009/1223
"1,3,5-Tris-[(2S And 2R)-2,3-Epoxypropyl]-1,3,5-Triazine-2,4,6-(1H,3H,5H)-Trione",59653-74-6,No,No,Yes,,(EC) 2009/1223
"1,3-Benzenediamine, 4-Methyl-6-(Phenylazo)- And Its Salts, When Used As A Substance In Hair Dye Products",4438-16-8,No,No,Yes,,(EC) 2009/1223
"1,3-Bis(Vinylsulfonylacetamido)Propane",93629-90-4,No,No,Yes,,(EC) 2009/1223
"1,3-Butadiene",106-99-0,No,Yes,No,,
"1,3-Dichlorobenzene",541-73-1,No,Yes,No,,
"1,3-Dichloropropan-2-Ol",96-23-1,No,Yes,Yes,,(EC) 2009/1223
"1,3-Dimethyl-3,7-Dihydro-1H-Purine-2,6-Dione",58-55-9,No,No,Yes,,(EU) 2023/1490
"1,3-Dimethylpentylamine And Its Salts",105-41-9,No,No,Yes,,(EC) 2009/1223
"1,3-Diphenylguanidine",102-06-7,No,No,Yes,,(EC) 2009/1223
