retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Rhode Peptide Lip Treatment,Lactic Acid,lactic acid,Lactic Acid,50-21-5,No,No,No
Sephora,Rhode Peptide Lip Treatment,Tribehenin,tribehenin,Tribehenin,18641-57-1,No,No,No
Sephora,Rhode Peptide Lip Treatment,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,phytosteryl,Phytosteryl,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Ethylhexyl Palmitate,ethylhexyl palmitate,Ethylhexyl Palmitate,29806-73-3,No,No,No
Sephora,Rhode Peptide Lip Treatment,Sorbitan Isostearate,sorbitan isostearate,Sorbitan Isostearate,71902-01-7,No,No,No
Sephora,Rhode Peptide Lip Treatment,Synthetic Fluorphlogopite,synthetic fluorphlogopite,Synthetic Fluorphlogopite,12003-38-2,No,No,No
Sephora,Rhode Peptide Lip Treatment,Disteardimonium Hectorite,disteardimonium hectorite,Disteardimonium Hectorite,97280-96-1,No,No,No
Sephora,Rhode Peptide Lip Treatment,Titanium Dioxide (Ci 77891),titanium dioxide,Ci 77891,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Red 28 Lake (Ci 45410),red 28 lake,Red 28 Lake,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Red 7 (Ci 15850),red 7,Red 7,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Yellow 5 Lake (Ci 19140),yellow 5 lake,Yellow 5 Lake,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Blue 1 Lake (Ci 42090),blue 1 lake,Blue 1 Lake,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Water(Aqua),water,Onsen-Sui,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Acrylates Copolymer,acrylates copolymer,Acrylates Copolymer,25133-97-5,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Ceratonia Siliqua (Carob) Gum,ceratonia siliqua gum,Ceratonia Siliqua Gum,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Chondrus Crispus Extract,chondrus crispus extract,Chondrus Crispus,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Dipropylene Glycol,dipropylene glycol,Dipropylene Glycol,110-98-5,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Betaine,betaine,Betaine,107-43-7,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Algin,algin,Algin,9005-38-3,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Agar,agar,Agar,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Hydroxyacetophenone,hydroxyacetophenone,Hydroxyacetophenone,99-93-4,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Potassium Chloride,potassium chloride,Potassium Chloride,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Caprylyl Glycol,caprylyl glycol,Caprylyl Glycol,1117-86-8,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Sucrose,sucrose,Sucrose,57-50-1,No,No,No
