cleaned_name,cas_number,notes,region
selenium and its compounds with the exception of selenium disulphide under the conditions set out under reference no 49 in annex iii,7782-49-2,(EC) 2009/1223,EU
solanum nigrum l. and its galenical preparations,84929-77-1,(EC) 2009/1223,EU
sparteine (inn) and its salts,90-39-1,(EC) 2009/1223,EU
glucocorticoids (corticosteroids),,(EC) 2009/1223,EU
datura stramonium l. and its galenical preparations,84696-08-2,(EC) 2009/1223,EU
"strophantines, their aglucones and their respective derivatives",11005-63-3,(EC) 2009/1223,EU
strophantus species and their galenical preparations,,(EC) 2009/1223,EU
strychnine and its salts,57-24-9,(EC) 2009/1223,EU
strychnos species and their galenical preparations,,(EC) 2009/1223,EU
"narcotics, natural and synthetic: all substances listed in tables i and ii of the single convention on narcotic drugs signed in new york on 30 march 1961",,(EC) 2009/1223,EU
sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more h-atoms of the -nh2 groups) and their salts,,(EC) 2009/1223,EU
sultiame (inn),61-56-3,(EC) 2009/1223,EU
neodymium and its salts,7440-00-8,(EC) 2009/1223,EU
thiotepa (inn),52-24-4,(EC) 2009/1223,EU
pilocarpus jaborandi holmes and its galenical preparations,84696-42-4,(EC) 2009/1223,EU
tellurium and its compounds,13494-80-9,(EC) 2009/1223,EU
xylometazoline (inn) and its salts,526-36-3,(EC) 2009/1223,EU
tetrachloroethylene,127-18-4,(EC) 2009/1223,EU
carbon tetrachloride,56-23-5,(EC) 2009/1223,EU
hexaethyl tetraphosphate,757-58-4,(EC) 2009/1223,EU
thallium and its compounds,7440-28-0,(EC) 2009/1223,EU
"thevetia neriifolia juss., glycoside extract",90147-54-9,(EC) 2009/1223,EU
ethionamide (inn),536-33-4,(EC) 2009/1223,EU
phenothiazine (inn) and its compounds,92-84-2,(EC) 2009/1223,EU
"thiourea and its derivatives, with the exception of the one listed in annex iii",62-56-6,(EC) 2009/1223,EU
mephenesin (inn) and its esters,59-47-2,(EC) 2009/1223,EU
"vaccines, toxins or serums defined as immunological medicinal products pursuant to article 1(4) of directive 2001/83/ec",,(EC) 2009/1223,EU
tranylcypromine (inn) and its salts,155-09-9,(EC) 2009/1223,EU
trichloronitromethane (chloropicrine),76-06-2,(EC) 2009/1223,EU
"2,2,2-tribromoethanol (tribromoethyl alcohol)",75-80-9,(EC) 2009/1223,EU
trichlormethine (inn) and its salts,555-77-1,(EC) 2009/1223,EU
trichlormethine (inn) and its salts,817-09-4,(EC) 2009/1223,EU
trichlormethine (inn) and its salts,6138-32-5,(EC) 2009/1223,EU
tretamine (inn),51-18-3,(EC) 2009/1223,EU
gallamine triethiodide (inn),65-29-2,(EC) 2009/1223,EU
urginea scilla steinh. and its galenical preparations,84650-62-4,(EC) 2009/1223,EU
"veratrine, its salts and galenical preparations",8051-02-3,(EC) 2009/1223,EU
schoenocaulon officinale lind (seeds and galenical preparations),84604-18-2,(EC) 2009/1223,EU
veratrum spp. and their preparations,90131-91-2,(EC) 2009/1223,EU
vinyl chloride monomer,75-01-4,(EC) 2009/1223,EU
ergocalciferol (inn) and cholecalciferol (vitamins d2 and d3),50-14-6,(EC) 2009/1223,EU
ergocalciferol (inn) and cholecalciferol (vitamins d2 and d3),67-97-0,(EC) 2009/1223,EU
salts of o-alkyldithiocarbonic acids,,(EC) 2009/1223,EU
yohimbine and its salts,146-48-5,(EC) 2009/1223,EU
dimethyl sulfoxide (inn),67-68-5,(EC) 2009/1223,EU
diphenhydramine (inn) and its salts,58-73-1,(EC) 2009/1223,EU
