cleaned_name,cas_number,notes,region
isosorbide dinitrate,87-33-2,,Taiwan
inproquone,436-40-8,,Taiwan
dimevamide  and its salts,60-46-8,,Taiwan
diphenylpyraline  and its salts,147-20-6,,Taiwan
sulfinpyrazone,57-96-5,,Taiwan
"n--n,n-diisopropylmethyl-ammonium salts, e. g. isopropamide iodide",71-81-8,,Taiwan
benactyzine,302-40-9,,Taiwan
benzatropine  and its salts,86-13-5,,Taiwan
cyclizine  and its salts,82-92-8,,Taiwan
"1-chloro-2,3-epoxypropane",106-89-8,,Taiwan
"5,5-diphenyl-4-imidazolidone )",3254-93-1,,Taiwan
probenecid,57-66-9,,Taiwan
disulfiram ; thiram,97-77-8/137-26-8,,Taiwan
oxanamide  and its derivatives,126-93-2,,Taiwan
"choline salts and their esters, e. g. choline chloride",67-48-1,,Taiwan
caramiphen  and its salts,77-22-5,,Taiwan
metethoheptazine  and its salts,509-84-2,,Taiwan
oxpheneridine  and its salts,546-32-7,,Taiwan
ethoheptazine  and its salts,77-15-6,,Taiwan
metheptazine  and its salts,469-78-3,,Taiwan
"1,2-dibromoethane",106-93-4,,Taiwan
methylphenidate  and its salts,113-45-1,,Taiwan
doxylamine  and its salts,469-21-6,,Taiwan
tolboxane,2430-46-8,,Taiwan
parethoxycaine  and its salts,94-23-5,,Taiwan
fenozolone,15302-16-6,,Taiwan
glutethimide  and its salts,77-21-4,,Taiwan
bemegride  and its salts,64-65-3,,Taiwan
valnoctamide,4171-13-5,,Taiwan
haloperidol,52-86-8,,Taiwan
paramethasone,53-33-8,,Taiwan
aziridine,151-56-4,,Taiwan
fluanisone,1480-19-9,,Taiwan
trifluperidol,749-13-3,,Taiwan
fluoresone,2924-67-6,,Taiwan
fluorouracil,51-21-8,,Taiwan
"furfuryltrimethylammonium salts, e. g. furtrethonium iodide",541-64-0,,Taiwan
galantamine,357-70-0,,Taiwan
hydrazides and their salts e.g. isoniazid,54-85-3,,Taiwan
octamoxin  and its salts,4684-87-1,,Taiwan
warfarin  and its salts,81-81-2,,Taiwan
methocarbamol,532-03-6,,Taiwan
2-methoxyethanol and its acetate,109-86-4/110-49-6,,Taiwan
propatylnitrate,2921-92-8,,Taiwan
fenadiazole,1008-65-7,,Taiwan
