url,name,cas_number,ec_number
https://incidecoder.com/ingredients/chlorphenesin,Chlorphenesin,104-29-0,203-192-6
https://incidecoder.com/ingredients/cholesterol,Cholesterol,57-88-5,200-353-2
https://incidecoder.com/ingredients/cholesteryl-nonanoate,Cholesteryl Nonanoate,1182-66-7,214-658-3
https://incidecoder.com/ingredients/cholesteryl-oleyl-carbonate,Cholesteryl Oleyl Carbonate,17110-51-9,241-179-7
https://incidecoder.com/ingredients/cholesteryl-stearate,Cholesteryl Stearate,35602-69-8,252-637-0
https://incidecoder.com/ingredients/chondrus-crispus,Chondrus Crispus,,
https://incidecoder.com/ingredients/chondrus-crispus-extract,Chondrus Crispus Extract,244023-79-8,
https://incidecoder.com/ingredients/ci-14700,Ci 14700,4548-53-2,224-909-9
https://incidecoder.com/ingredients/ci-17200,Ci 17200,3567-66-6,222-656-9
https://incidecoder.com/ingredients/ci-19140,Ci 19140,1934-21-0,217-699-5
https://incidecoder.com/ingredients/ci-42090,Ci 42090,3844-45-9,223-339-8
https://incidecoder.com/ingredients/ci-45410,Ci 45410,18472-87-2,242-355-6
https://incidecoder.com/ingredients/ci-75120,Ci 75120,1393-63-1,215-735-4
https://incidecoder.com/ingredients/ci-75470,Ci 75470,1390-65-4,215-724-4
https://incidecoder.com/ingredients/ci-77007,Ci 77007,12769-96-9,235-811-0
https://incidecoder.com/ingredients/ci-77163,Ci 77163,7787-59-9,232-122-7
https://incidecoder.com/ingredients/ci-77288,Ci 77288,1308-38-9,215-160-9
https://incidecoder.com/ingredients/ci-77289,Ci 77289,1308-14-1,215-158-8
https://incidecoder.com/ingredients/ci-77491,Ci 77491,1309-37-1,215-168-2
https://incidecoder.com/ingredients/ci-77492,Ci 77492,51274-00-1,257-098-5
https://incidecoder.com/ingredients/ci-77499,Ci 77499,12227-89-3,235-442-5
https://incidecoder.com/ingredients/ci-77510,Ci 77510,12240-15-2,237-875-5
https://incidecoder.com/ingredients/ci-77742,Ci 77742,10101-66-3,233-257-4
https://incidecoder.com/ingredients/ci-77891,Ci 77891,13463-67-7,236-675-5
https://incidecoder.com/ingredients/ci-77947,CI 77947,,
https://incidecoder.com/ingredients/citral,Citral,5392-40-5,226-394-6
