url,name,cas_number,ec_number
https://incidecoder.com/ingredients/aminopropyl-ascorbyl-phosphate,Aminopropyl Ascorbyl Phosphate,,
https://incidecoder.com/ingredients/ammonium-acryloyldimethyltaurate-vp-copolymer,Ammonium Acryloyldimethyltaurate/VP Copolymer,,
https://incidecoder.com/ingredients/ammonium-glycolate,Ammonium Glycolate,35249-89-9,
https://incidecoder.com/ingredients/ammonium-lauryl-sulfate,Ammonium Lauryl Sulfate,2235-54-3,218-793-9
https://incidecoder.com/ingredients/ammonium-polyacryloyldimethyl-taurate,Ammonium Polyacryloyldimethyl Taurate,62152-14-1,
https://incidecoder.com/ingredients/ammonium-xylenesulfonate,Ammonium Xylenesulfonate,26447-10-9,247-710-9
https://incidecoder.com/ingredients/amodimethicone,Amodimethicone,71750-80-6,
https://incidecoder.com/ingredients/ananas-sativus-fruit-extract,Ananas Sativus Fruit Extract,,
https://incidecoder.com/ingredients/anhydroxylitol,Anhydroxylitol,53448-53-6,258-560-9
https://incidecoder.com/ingredients/anthemis-nobilis-flower-extract,Anthemis Nobilis Flower Extract,84649-86-5,283-467-5
https://incidecoder.com/ingredients/anthemis-nobilis-flower-oil,Anthemis Nobilis Flower Oil,84649-86-5,283-467-5
https://incidecoder.com/ingredients/anthocyanins,Anthocyanins,11029-12-2,
https://incidecoder.com/ingredients/aphanizomenon-flos-aquae-extract,Aphanizomenon Flos-Aquae Extract,,
https://incidecoder.com/ingredients/arachidyl-alcohol,Arachidyl Alcohol,629-96-9,211-119-4
https://incidecoder.com/ingredients/arachidyl-glucoside,Arachidyl Glucoside,,
https://incidecoder.com/ingredients/arbutin,Arbutin,497-76-7,207-850-3
https://incidecoder.com/ingredients/arctium-lappa-root-extract,Arctium Lappa Root Extract,84012-13-5,281-658-8
https://incidecoder.com/ingredients/arctostaphylos-uva-ursi-leaf-extract,Arctostaphylos Uva-Ursi Leaf Extract,84776-10-3,283-934-3
https://incidecoder.com/ingredients/argania-spinosa-kernel-oil,Argania Spinosa Kernel Oil,223747-87-3,
https://incidecoder.com/ingredients/arginine,Arginine,74-79-3,200-811-1
https://incidecoder.com/ingredients/aristotelia-chilensis-oil,Aristotelia Chilensis Oil,,
https://incidecoder.com/ingredients/arnica-montana-extract,Arnica Montana Extract,,
https://incidecoder.com/ingredients/arnica-montana-flower-extract,Arnica Montana Flower Extract,68990-11-4,273-579-2
https://incidecoder.com/ingredients/aronia-melanocarpa-fruit-extract,Aronia Melanocarpa Fruit Extract,,
